ID,Título,Status do Museu,Localização,Geolocalização manual
80823,Museu de Território Caminhos de Rosa,Aberto,"-19.11723258481442,-44.322474002838135",False
80824,Memorial Sakai do Embu,Aberto,"-23.645892,-46.850147",False
80825,Centro Cultural Pasquale Marchese,Aberto,"-31.864739,-52.818931",False
80826,Parque Estadual Mata São Francisco,Aberto,"-23.183387,-50.650255",False
80827,Wonderland - Museu de Miniaturas,Fechado,"-30.0360433,-51.2274075",False
80828,Museu Casa de Ruy Barbosa,Fechado,"-12.97656,-38.513879",False
80829,Museu da Cultura - Pontifícia Universidade Católica de São Paulo,Aberto,"-23.538047,-46.670531",False
80830,Fundação Cultural e Filantrópica Lea Pentagna,Aberto,"-22.242933,-43.697724",False
80831,Museu Histórico da Imigração Japonesa do Paraná,Aberto,"-23.2349597,-51.5852982",False
80832,Museu do Samba,Aberto,"-22.900458,-43.2408",False
80833,Museu Educativo Gama D’eça - Universidade Federal de Santa Maria,Aberto,"-29.6871672971894,-53.8069152832031",False
80834,Museu da Roça - Quatis,Aberto,"-22.411852,-44.263892",False
80835,Memorial Monsenhor Expedito,Fechado,"-5.899797,-35.764556",False
80836,Museu Tijucas,Aberto,"-27.24259232115304,-48.62866401672363",False
80837,Museu Municipal David Canabarro,Aberto,"-30.89039,-55.531765",False
80838,Museu Municipal de Valença do Piauí,Aberto,"-6.4037504,-41.7402015",False
80839,Museu de Pré-História de Itapipoca,Aberto,"-3.511784,-39.583493",False
80840,Museu da Farmácia Augusto Stellfeld,Aberto,"-25.437305,-49.265464",False
80841,Museu do Pão,Aberto,"-28.928741,-52.126337",False
80842,Museu da Força Expedicionária Brasileira de Campo Grande,Aberto,"-20.464013,-54.615873",False
80843,Museu Histórico e Cultural Professor Honório de Souza Carneiro,Aberto,"-20.214227,-50.937532",False
80844,Museu da Cidade - Fundição Lidgerwood - Muci,Aberto,"-22.907924,-47.067292",False
80845,Museu Municipal Carlos Nobre,Aberto,"-30.109766,-51.314866",False
80846,Museu Municipal de São Sepé,Aberto,"-30.166994,-53.568321",False
80847,Museu da Humanidade - Instituto de Pesquisa Histórica e Arqueológica do Rio de Janeiro,Aberto,"-22.81940895,-43.39518805",False
80848,Centro de Memória do Oeste de Santa Catarina - CEOM,Aberto,"-27.088462,-52.612155",False
80849,Museu Histórico de Rolante,Aberto,"-29.6526697,-50.5742766",False
80850,Centro Cultural de Tupi Paulista,Aberto,"-21.3868599,-51.5774417",False
80851,Museu Coronel Vasco Alves,Aberto,"-29.7906476,-55.7954085",False
80852,Parque Histórico de Carambeí,Aberto,"-24.915721,-50.099111",False
80853,Museu Comunitário e Centro de Cultura Bororo de Meruri,Aberto,"-15.709884,-52.757853",False
80854,Museu da Ferrovia,Fechado,"-22.0410996,-48.33887010000001",False
80855,Museu de Minerais e Gemas do Centro Gemológico do Nordeste,Aberto,"-7.216697,-35.909976",False
80856,Centro Cultural Izavam Ribeiro Macario,Aberto,"-22.236351,-48.720809",False
80857,Museu das Bonecas e Brinquedos,Aberto,"-15.601408,-56.097898",False
80858,Núcleo de Ciência - Universidade Federal do Espírito Santo,Aberto,"-20.2775638,-40.3036012",False
80859,Museu Histórico Municipal João Rissatti,Aberto,"-22.789521,-51.714686",False
80860,Casa de Cultura Cristiano Câmara,Aberto,"-3.723369,-38.523051",False
80861,Espaço Memória Amarílio Vieira de Macedo,Aberto,"-30.025792,-51.209556",False
80862,Parque Estadual do Vale do Codó,Aberto,"-25.0915940422271,-50.155291557312",False
80863,Parque Estadual Rio Negro Setor Norte,Aberto,"-2.15281358312885,-61.3627624511719",False
80864,Parque Estadual do Mirador,Aberto,"-6.374936,-44.368677",False
80865,Ilha Fiscal - Museu Naval,Aberto,"-22.8957843,-43.1795609",False
80866,Memorial Attilio Fontana,Aberto,"-27.2270284,-52.0294549",False
80867,Casa Museu João Luiz Pozzobon,Aberto,"-29.6183552,-53.4544548",False
80869,Museu da Seresta - Solar de Cultura Arte Miúda,Aberto,"-18.241948,-43.599623",False
80870,Museu Casa Branca,Aberto,"-10.654071,-68.499413",False
80871,Museu Paroquial Padre Osmar Possamai,Aberto,"-28.971386,-51.068871",False
80872,Museu Antropológico de Osório,Aberto,"-29.887271,-50.268903",False
80873,Memorial Augusto dos Anjos,Aberto,"-7.093997,-35.228298",False
80874,Sala de Memória,Aberto,"-25.623683,-50.688221",False
80875,Museu da Cidade,Aberto,"-7.982188,-38.289385",False
80876,Jardim Botânico de São Paulo,Aberto,"-23.6379477,-46.6273047",False
80877,Museu e Acervo Histórico-cultural de São Pedro da Serra,Fechado,"-29.419166018584,-51.512548327446",False
80878,Centro Ecológico de Regência,Aberto,"-19.582318,-39.790513299999986",False
80879,Instituto Ricardo Brennand,Aberto,"-8.065241,-34.963326",False
80880,Museu de Arte Contemporânea de Americana,Aberto,"-22.7536854,-47.351345",False
80881,Museu da Luz - Eletroacre,Fechado,"-9.960511,-67.810944",False
80882,Museu Municipal João Modtkowski,Aberto,"-27.694074,-52.05102",False
80883,Parque Florestal Rio da Onça,Aberto,"-25.8138771409168,-48.5337352752686",False
80885,Museu da Junta Comercial do Paraná,Aberto,"-25.426296,-49.270665",False
80886,Museu Municipal Ervino Breitenbach,Aberto,"-27.2123972,-53.61494170000003",False
80887,Museu Municipal José Raphael Toscano,Aberto,"-22.2855498,-48.5535485",False
80888,Museu Histórico e de Artes Darras Noya,Aberto,"-9.370411,-37.248361",False
80889,Museu de Taxidermia,Aberto,"-15.8444989,-47.9433097",False
80890,Museu Histórico de Pimenta Bueno Ildemar de Abreu,Fechado,"-7.92867480136403,-65.390625",False
80891,Cantinho Histórico,Aberto,"-22.429894,-49.522475",False
80892,Centro Histórico Cultural Avetti Paladini Zilli,Aberto,"-28.8468405,-49.4610376",False
80893,Laboratório de Divulgação Científica Ilha da Ciência - Universidade Federal do Maranhão,Aberto,"-2.560659,-44.315136",False
80894,Paço da Liberdade - Museu da Cidade de Manaus,Aberto,"-3.1338961,-60.0284761",False
80896,Memorial da Mulher - Ceci Cunha,Aberto,"-9.751614,-36.660425",False
80897,Museu do Morro da Caixa D'água Velha,Aberto,"-15.599076,-56.101401",False
80898,Museu Histórico de Capim Branco,Aberto,"-19.5460049670985,-44.1349875926971",False
80899,Parque Estadual Guariba,Aberto,"-5.78884738499836,-61.2762451171875",False
80900,Casa da Cultura e Memorial do Estreito Augusto César,Aberto,"-27.468109,-51.910015",False
80901,Museu do Esporte José Aurino de Barros Filho,Aberto,"-7.221408,-35.870603",False
80903,Casa de Cultura Oscar do Amaral Pinto - Casa da Câmara e Cadeia,Aberto,"-21.6341268,-41.04951169999998",False
80904,Museu do Una,Aberto,"-8.889795,-35.151785",False
80905,Museu Ferroviário de Campos,Fechado,"-21.762666,-41.318457",False
80906,Instituto de Pesquisas Afro Cultural Odé Gbomi,Aberto,"-22.770936,-43.530196",False
80907,Museu Vicente de Azevedo,Aberto,"-23.590859,-46.61121",False
80908,Museu Municipal Edson Bloemer,Aberto,"-25.380388,-54.052341",False
80909,Casa da Memória Paraná,Aberto,"-25.095577,-50.155495",False
80910,Museu de Jardim do Seridó,Aberto,"-6.58644245871986,-36.7736327648163",False
80911,Casa de Cultura José Adriano da Costa,Aberto,"-2.70143142661307,-44.8233282566071",False
80912,Fundação Pró-memória de Canarana,Aberto,"-13.551929,-52.270963",False
80913,Casa da Cultura de Vargem Grande do Sul,Aberto,"-21.827732,-46.893237",False
80914,Museu da Comissão de Estradas e Rodagem Número Três,Aberto,"-21.482097,-56.135725",False
80915,Instituto Moreira Salles - Rio de Janeiro,Aberto,"-22.981977,-43.238914",False
80916,Museu Antropológico de Ituiutaba,Aberto,"-18.977651,-49.464407",False
80917,Parque Estadual do Ibitipoca,Aberto,"-21.839086,-43.793836",False
80918,Memorial do Hotel Globo,Aberto,"-7.11241208707846,-34.8888605833054",False
80919,Experimentoteca - Universidade de Brasília,Aberto,"-15.765164,-47.869916",False
80920,Museu da Ordem Terceira do Carmo,Aberto,"-12.972226,-38.501426",False
80921,Museu das Cavalhadas,Aberto,"-15.852105,-48.957675",False
80922,Centro Cultural Banco do Nordeste - Fortaleza,Aberto,"-3.7256542,-38.5255949",False
80923,Núcleo de Pesquisa e Documentação Histórica de Bauru e Região,Aberto,"-22.328786,-49.060215",False
80925,Centro Integrado de Ciência e Cultura,Aberto,"-20.813923,-49.41393",False
80926,Museu de Arte e Cultura Canjira,Fechado,"-16.557535,-41.502083",False
80927,Casa de Cultura Humberto Mauro,Aberto,"-21.767578,-42.537914",False
80928,Casa Museu Solar Santo Antônio,Fechado,"-12.96703,-38.506351",False
80929,Museu do Telefone (Campo Grande),Aberto,"-20.439909,-54.593155",False
80930,Museu do Trem - Centro de Preservação da História Ferroviária no Rio Grande do Sul,Aberto,"-29.768381,-51.141",False
80931,"Museu de Ciências, Tecnologia e Variedades Emília Lence Carluci",Aberto,"-23.768308,-45.408209",False
80932,Museu da Catedral de Nossa Senhora da Glória,Aberto,"-22.246282,-43.707379",False
80933,Centro de Referência do Trabalhador - Leonel Brizola,Aberto,"-15.8019025,-47.9649708",False
80934,Coleção de Artes Visuais/instituto de Estudos Brasileiros da Universidade de São Paulo,Aberto,"-23.558861,-46.719742",False
80935,Bosque da Ciência,Aberto,"-3.082857,-59.978229",False
80936,Museu de História Natural de Taubaté,Aberto,"-23.016787,-45.536607",False
80937,Museu Nacional do Espiritismo,Aberto,"-25.386573,-49.228723",False
80938,Museu de Arte e Folclore de Santo Antônio da Alegria,Aberto,"-21.086926,-47.146822",False
80939,Museu Histórico de Varpa Janis Erdberges,Aberto,"-22.081007,-50.542783",False
80940,Forte São Marcelo,Fechado,"-12.969959,-38.517892",False
80941,Museu do Tropeiro José Salomão Fadlalah,Fechado,"-20.2355554,-41.5118891",False
80942,Galeria de Artes Álvaro Santos,Aberto,"-10.912986,-37.050861",False
80943,Museu da Caixa Econômica Federal,Aberto,"-23.549981,-46.633921",False
80944,Museu de Apicultura e Mel do Apiário Embu Cidade das Abelhas,Aberto,"-23.670782419042165,-46.88607573509216",False
80945,Museu Penitenciário Paulista,Aberto,"-23.5068627,-46.6155098",False
80946,Museu Histórico e Pedagógico Julio Henrique Rafard,Fechado,"-23.010992,-47.532254",False
80947,Parque Estadual Fritz Plaumann,Aberto,"-27.2880447340394,-52.1103858947754",False
80948,Museu da Farmácia - Universidade de São Paulo,Aberto,"-23.565312,-46.724996",False
80949,Memorial da Imigração Japonesa - Registro,Aberto,"-24.488476436093,-47.8392362594604",False
80950,Sabina Escola Parque do Conhecimento,Aberto,"-23.682254,-46.528272",False
80951,Museu de Balbina,Aberto,"-2.03017,-60.023887",False
80952,Memorial JK - Jataí,Aberto,"-17.8704295,-51.7290666",False
80953,Pinacoteca Municipal Matteo Tonietti,Fechado,"-32.0306868,-52.0978357",False
80954,Fundação Hansen Bahia - Museu Galeria,Aberto,"-12.6057768,-38.9631881",False
80955,Museu do Seringal - Vila Paraíso,Aberto,"-3.0100097,-60.1754595",False
80956,Museu Professor Benício Vasconcelos de Tavares,Aberto,"-3.719986,-38.513204",False
80957,Museu de Taxidermia - SC,Aberto,"-27.0119551998281,-48.6123561859131",False
80959,Museu do Instituto Histórico e Geográfico Paraibano,Aberto,"-7.1179863,-34.8825332",False
80960,Zooparque Itatiba,Aberto,"-23.045992,-46.747409",False
80961,Casa de Cacos de Louça,Aberto,"-19.931960616868,-44.0858173370361",False
80962,Museu Ferroviário de Petrópolis - Centro Cultural Estação Nogueira,Aberto,"-22.450062311921698,-43.15807342529297",False
80963,Museu Ergológico de Estância,Aberto,"-28.656941,-56.018529",False
80964,Memorial Tito Silva - Oficina Escola,Aberto,"-7.11388,-34.88837",False
80965,Museu Internacional,Aberto,"-26.249693,-53.637109",False
80966,Museu Carmelitano de História Natural,Aberto,"-8.359064,-35.765661",False
80967,Museu Dom Vital,Fechado,"-8.068511,-34.878523",False
80968,Museu Municipal de Bernardino de Campos,Fechado,"-23.019512,-49.476517",False
80969,Museu Geológico Valdemar Lefèvre,Aberto,"-23.531638,-46.668464",False
80970,Museu Histórico Professora Maria José França Foohs,Aberto,"-26.081864,-49.806954",False
80971,Antiga Fazenda São José (da Atafona),Aberto,"-30.033479,-52.893289",False
80972,Museu Botânico Doutor João Barbosa Rodrigues,Fechado,"-23.64229,-46.62671",False
80973,Museu Doutor Carlos dos Anjos Filho,Aberto,"-23.7799951,-53.0684428",False
80974,Fundação Parque Histórico Marechal Manoel Luis Osório,Aberto,"-30.048263,-51.178666",False
80975,Museu Histórico de Itupeva,Aberto,"-23.1549603494616,-47.0539498329163",False
80976,Museu Histórico Celso Formighieri Sperança,Aberto,"-24.957774,-53.459518",False
80977,Museu Ubaldo Monteiro da Silva,Fechado,"-15.653295,-56.139462",False
80978,Museu da Colonização Holandesa,Aberto,"-24.15528,-49.828935",False
80979,Museu de Anatomia Humana da Faculdade de Medicina da Universidade de Brasília,Aberto,"-15.7687818,-47.8662301",False
80980,Memorial Combatente Manoel Lino de Paiva,Aberto,"-6.095712499999999,-37.910772",False
80981,Centro Cultural do Liceu de Artes e Ofícios de São Paulo,Aberto,"-23.5330126,-46.6267708",False
80982,Museu Nacional do Automóvel,Fechado,"-15.781764242923,-47.9130291938782",False
80983,"Estação Ciência, Cultura e Arte",Aberto,"-7.121803,-34.843034",False
80984,Museu Ferroviário (Jaguariaíva),Aberto,"-24.244373,-49.707123",False
80985,Museu da Gastronomia Brasileira,Aberto,"-23.73164,-46.7173445",False
80986,Memorial Mesa de Pedra,Aberto,"-6.726751364888274,-38.448543548583984",False
80987,Parque Estadual do Bacanga,Aberto,"-2.4885227,-44.2258283",False
80988,Museu Entre Nuvens e Estrelas/museu Aeroespacial Reitor Sydnei Lima Santos - UTP – Universidade Tuiuti do Paraná,Fechado,"-25.397558,-49.231609",False
80989,Museu Histórico-geográfico de Botelhos e do Café,Aberto,"-21.641638,-46.391451",False
80990,Memorial da Universidade Federal do Ceará,Aberto,"-3.7383329,-38.5366702",False
80991,Memorial do Empreendedorismo da ACIPI (Associação Comercial e Industrial de Piracicaba),Aberto,"-22.7220552,-47.6501833",False
80992,Museu de Sinalização Ferroviária da Cabine Número 3 da Ex-Estrada de Ferro Central do Brasil,Aberto,"-22.902858,-43.270332",False
80993,Museu Municipal Pedro Laragnoit,Aberto,"-24.282883,-47.459254",False
80994,Museu Público Municipal (Porto Lucena),Aberto,"-27.857357,-55.010566",False
80995,Museu Casa de Casimiro de Abreu,Aberto,"-22.590039505200675,-41.99312180184744",False
80996,Museu da Colonização de Chapecó,Fechado,"-27.0968168,-52.6664883",False
80997,Museu Egípcio e Rosacruz - Tutankhamon,Aberto,"-25.3906849659878,-49.2262709140778",False
80998,Museu Histórico de Votorantim - Ettore Marangone Marangon,Aberto,"-23.5427696,-47.4542108",False
80999,Museu de Arte Contemporânea Itajahy Martins,Aberto,"-22.893544,-48.445107",False
81000,Museu Anti-tabagismo Senador Francisco Dornelles,Fechado,"-22.158954,-43.304424",False
81001,Museu Rural Maria Octacília Freire de Mesquita,Aberto,"-22.1631542,-42.42579119999999",False
81002,Museu de História Natural da Bahia (Universidade Federal da Bahia),Aberto,"-13.0009721124492,-38.5085928440094",False
81003,Museu Municipal de Garibaldi,Aberto,"-29.253811,-51.531677",False
81004,Museu de Zoologia da Universidade de São Paulo - MZUSP,Aberto,"-23.587919,-46.610452",False
81005,Museu Sala das Mestras,Aberto,"-24.508684,-48.839409",False
81006,Museu de Ciência e Tecnologia do Estado da Bahia,Fechado,"-12.968767,-38.428071",False
81007,Centro Cultural Eduardo Prado,Aberto,"-21.825251,-47.247588",False
81008,Museu Estácio de Lima,Fechado,"-12.991059,-38.512192",False
81009,Casa da Memória de Marilena,Aberto,"-22.734019,-53.04074",False
81010,Museu Comunitário Jeová Batista de Azevedo,Aberto,"-6.870960932817869,-36.92111134529113",False
81011,Museu Augusto Emilio Klimmek,Aberto,"-26.253981,-49.381628",False
81012,Jardim Botânico do Recife,Aberto,"-8.07502,-34.966983",False
81013,Museu Frei Miguel,Aberto,"-27.132287,-51.465537",False
81014,Sonho de Criança - Museu do Automóvel Antigo de Gravatá,Aberto,"-8.2116007,-35.5677787",False
81015,Centro de Memória - Taboão da Serra,Fechado,"-23.610335,-46.759027",False
81016,Ecomuseu Doutor José Humberto,Aberto,"-22.8815525169641,-43.6158835887909",False
81017,Museu da Imagem e do Som de Santa Catarina,Aberto,"-27.5770877327705,-48.5258817672729",False
81018,Espaço Mario Cravo - Parque das Esculturas,Aberto,"-12.9666893,-38.4067947",False
81019,Museu Galeria de Arte Caetano Veloso,Aberto,"-12.257379,-38.968067",False
81020,Museu Sacro Dom Timóteo,Aberto,"-3.71990376110495,-40.9904193878174",False
81021,Museu de Arte e de Cultura Popular - MACP - Universidade Federal de Mato Grosso,Aberto,"-15.6116302,-56.0630475",False
81022,Museu Histórico e Geográfico de Poços de Caldas,Aberto,"-21.78342,-46.572842",False
81023,Museu de Escultura Ao Ar Livre,Aberto,"-16.678416428102548,-49.24123764038086",False
81024,Herbário Fanerogâmico e Criptogâmico do Instituto Agronômico,Aberto,"-22.8748632,-47.0713049",False
81025,Museu de Arte e Memória de Suzano,Aberto,"-23.5520698,-46.3163458",False
81026,Centro Pró-memória da Justiça Federal em Rondônia,Aberto,"-8.7577943,-63.9075367",False
81027,Museu da Cidade de Bom Despacho,Fechado,"-19.7343142,-45.2518857",False
81028,Museu Histórico Vale do Cahy,Aberto,"-29.5896142,-51.3764282",False
81029,Memorial Padre Antônio Vieira SJ,Aberto,"-3.5644941,-41.092161799999985",False
81030,Museu de Ciências e Tecnologia - Pontifícia Universidade Católica do Rio Grande do Sul,Aberto,"-30.058964,-51.175926",False
81031,Museu Histórico Municipal de São Joaquim - Espaço Assis Chateaubriand,Aberto,"-28.290464,-49.937584",False
81032,Museu da Cidade de São Paulo - Monumento à Independência/Capela Imperial,Aberto,"-23.579546,-46.610265",False
81033,Museu Palácio da Aclamação,Fechado,"-12.985653,-38.519636",False
81034,Museu Histórico e Geográfico de São João de Meriti,Aberto,"-22.802917,-43.37048",False
81035,Museu Municipal Doutor Hélio Franco Fernandes,Aberto,"-29.08626,-53.845004",False
81036,Memorial Ateliê Zambelli,Aberto,"-29.144641,-51.197889",False
81037,Centro de Memórias da E.T.E. Bento Quirino,Aberto,"-22.887618,-47.047955",False
81038,Memorial Desembargador Vicente Lemos (Memorial do Judiciário),Aberto,"-5.793962,-35.198926",False
81039,Solar Luiz de Souza Leão,Aberto,"-21.925599,-50.522411",False
81040,Instituto Histórico e Cultural da Polícia Militar do Ceará,Aberto,"-3.735621,-38.528259",False
81041,Centro Histórico Cultural Bragadense,Aberto,"-24.625095,-54.228632",False
81042,Museu da Abolição,Aberto,"-8.0565207851303,-34.9088162183762",False
81043,Museu do São Francisco (Pirapora),Fechado,"-17.339289,-44.953195",False
81044,Museu Histórico da Cidade - Araci,Aberto,"-11.32575,-38.958745",False
81045,Museu de Arte Sacra de Pesqueira,Aberto,"-8.358388,-36.69812",False
81046,Memorial Arlinda Lobo,Aberto,"-4.331345,-40.1563418",False
81047,Parque Estadual da Mina Velha,Aberto,"-23.8255513068847,-50.1896667480469",False
81048,Museu de Timbaúba - Fundação Jader de Andrade,Aberto,"-7.50940728482353,-35.3153800964355",False
81049,Aquário de Ubatuba - Museu da Vida Marinha,Aberto,"-23.446581,-45.068263",False
81050,Museu do Tribunal de Justiça de São Paulo,Aberto,"-23.553027,-46.632299",False
81051,Casa do Brás - Escola Livre de Música de Itabira,Aberto,"-19.6225035803036,-43.2265083119273",False
81052,Museu de Zoologia – Fundação Hermínio Ometto,Aberto,"-22.3757934888625,-47.3699569702148",False
81053,Museu de Solos da Paraíba Professor Lourival Ferreira Cavalcante - Universidade Federal de Campina Grande (UFCG),Aberto,"-7.0593479735292,-37.2747766971588",False
81054,Memorial Dino Gorini,Aberto,"-28.689956,-49.378682",False
81055,Museu Histórico Corália Venites Maluf,Aberto,"-19.862642,-47.451272",False
81056,Fundação Cultural Casa de Cultura Antônio Carlos de Carvalho,Aberto,"-20.9475888,-44.913073",False
81057,Parque Estadual de Ibiporã,Aberto,"-23.266416,-51.052731",False
81058,Parque Estadual do Pantanal do Rio Negro,Aberto,"-20.4398414135948,-54.556839466095",False
81059,Museu Municipal Elmiro Wagner,Fechado,"-27.07591644055802,-53.15897941589355",False
81060,Parque Estadual do Rio Preto,Aberto,"-18.0724967,-43.3487761",False
81061,Memorial Misael Tavares,Aberto,"-14.7993665,-39.035920199999964",False
81062,Museu Casa Beato Pedro Batista,Aberto,"-9.732696,-38.121286",False
81063,Museu Mario Quintana,Aberto,"-29.790645,-55.795416",False
81064,Museu do Instituto Histórico e Geográfico de Alagoas,Aberto,"-9.663176,-35.73697",False
81065,Museu de Arte Sacra de São João Del Rei,Aberto,"-21.1361356,-44.2624633",False
81066,Museu Casa de Quinca Moreira,Aberto,"-3.51500592758725,-39.2172861099243",False
81067,Museu de Ciências Naturais e de História Barra do Jardim,Aberto,"-7.576395,-39.282979",False
81068,Museu Paranaense | MUPA,Aberto,"-25.4279016,-49.2761826",False
81069,Museu de Corrente - Centro Cultural Coronel José Benjamin Nogueira,Aberto,"-10.433769,-45.163759",False
81070,Museu da Comunicação do Paraná,Aberto,"-23.766104,-53.320617",False
81071,Casa de Memória e Pesquisa do Legislativo de Timóteo,Aberto,"-19.581566,-42.647538",False
81072,Museu Histórico Municipal Padre Luccino Viero,Fechado,"-29.1660838695401,-51.8684023618698",False
81073,Museu Municipal Doutor Hélio Carvalho Garcia,Aberto,"-20.9475888,-44.913073",False
81074,Centro de Pesquisas e Museu Regional de Arqueologia de Rondônia,Aberto,"-11.160177,-61.900224",False
81075,Museu Ferroviário de Rocha Leão,Aberto,"-22.517875,-41.947919",False
81076,Museu do Calçado de Franca (virtual) - misto,Fechado,"-20.5694245035257,-47.4053835868835",False
81078,Museu Histórico Bárbara Heliodora,Aberto,"-21.893708,-45.589783",False
81079,Centro de Arqueologia Annette Laming Emperaire,Aberto,"-19.652335,-43.908001",False
81080,Museu Municipal Memória Viva,Aberto,"-27.9225873930942,-53.9410471916199",False
81081,Centro de Memória Antônio Zanuzzo,Aberto,"-27.15259,-52.309419",False
81082,Parque Estadual Rio Negro Setor Sul,Aberto,"-3.07992319457235,-60.012731552124",False
81083,Museu Municipal Olympia Maffei Olivastro,Aberto,"-21.603455,-48.366717",False
81084,Espaço Ciência Viva,Aberto,"-22.868307,-43.350493",False
81085,Memorial Antônio Conselheiro,Aberto,"-9.89077337946606,-39.0222787857056",False
81086,Museu da Cidade de Tombos e Arquivo Histórico-geográfico e Cultural,Aberto,"-20.909117,-42.02318",False
81087,Museu de Ciências Naturais - Fundação Jardim Zoológico de Brasília,Aberto,"-15.8229750881417,-47.8897476196289",False
81088,Museu e Arquivo Histórico de Catas Altas da Noruega – Memorial Padre Luiz Gonzaga Pinheiro,Aberto,"-20.690557,-43.494294",False
81089,Memorial da Justiça Eleitoral da Paraíba,Aberto,"-7.1206804,-34.8777491",False
81090,Museu de História Natural da Universidade Regional do Cariri - URCA,Aberto,"-7.215706,-39.410659",False
81091,Museu de Imaginárias - Igreja Nossa Senhora do Carmo da Lapa do Desterro,Aberto,"-22.915193,-43.177748",False
81092,Museu dos Tropeiros,Fechado,"-20.6710664,-44.0657655",False
81093,Museu de Arqueologia de Ariquemes,Aberto,"-9.90874082266556,-62.9308891296387",False
81094,Memorial Clóvis Beviláqua,Aberto,"-3.567231,-41.091939",False
81095,Museu de Arte Sacra Padre Roberto Barbalho,Fechado,"-8.063908,-34.880891",False
81096,Museu do Petróleo,Aberto,"-5.189744,-37.344705",False
81097,Parque Zoobotânico,Aberto,"-9.953396,-67.862847",False
81098,Museu Carlota Pereira da Silva,Aberto,"-20.9721749,-46.1209138",False
81099,Museu da Cidade de Vigia de Nazaré,Fechado,"-0.861546,-48.139076",False
81100,Memorial dos Autonomistas – Senador José Guiomard dos Santos,Aberto,"-9.974047,-67.809857",False
81101,Instituto Histórico e Geográfico de Goiás,Aberto,"-16.654296,-49.263302",False
81102,Memorial da Fé,Aberto,"-29.4882029,-51.1397201",False
81103,Casa do Olhar Luiz Sacilotto,Aberto,"-23.6583008,-46.5240303",False
81104,Casa dos Açores - Museu Etnográfico,Aberto,"-27.443259,-48.628498",False
81105,Museu Virtual de Brasília,Aberto,"-15.7773866465269,-47.8715515136719",False
81106,Museu Municipal da Soja,Aberto,"-27.843575,-54.47761",False
81107,Museu da Obra Salesiana no Brasil,Aberto,"-23.5326192,-46.6433625",False
81108,Casa da Memória Doutor Armindo de Beghini,Aberto,"-22.522624,-46.650184",False
81109,Museu Botânico Municipal Gerdt Hatschbach,Aberto,"-25.4416927,-49.2411386",False
81110,Ecomuseu do Sítio do Físico,Aberto,"-2.54464377972429,-44.2754173278809",False
81111,Museu de História do Brasil,Aberto,"-20.0604365,-45.8823505",False
81112,Centro Cultural Palacinho - Fototeca do Rio Grande do Sul,Aberto,"-30.0169448,-51.1808811",False
81113,Museu Casa Velha da Fazenda Gama,Aberto,"-15.9352505273118,-47.9813718795776",False
81114,Museu de Arte Naïf,Aberto,"-20.815813,-49.382794",False
81115,Museu do Queijo Coalho,Aberto,"-8.0605592,-34.8705945",False
81116,Museu de História Natural de Alegrete,Aberto,"-29.7760947,-55.788685",False
81117,Museu Frei Germano Citeroni,Aberto,"-12.972226,-38.501426",False
81118,Museu Histórico e Cultural Fermino Gomercindo Grando,Aberto,"-27.393084,-52.574553",False
81119,Memorial da Província Sul,Aberto,"-25.5175799718439,-49.3735241889954",False
81121,Memorial do Município de Pontal do Paraná,Aberto,"-25.659251,-48.447826",False
81122,Museu do Instituto Histórico e Geográfico Brasileiro,Aberto,"-22.91515,-43.176565",False
81123,Museu da Associação Nacional dos Veteranos da Força Expedicionária Brasileira - Seção Regional Resende,Aberto,"-22.458929,-44.436906",False
81124,Museu Regional do Livro - Univates (Unidade Integrada Vale do Taquari de Ensino Superior),Aberto,"-29.459579,-51.964949",False
81125,Museu Histórico de Ciências da Fundação Ezequiel Dias,Aberto,"-19.9301517,-43.9857728",False
81126,Museu de Ciências Naturais - Torres,Aberto,"-29.33394,-49.733792",False
81127,Museu do Café - Três Pontas,Aberto,"-21.369922,-45.511323",False
81128,Ecomuseu da Picada,Aberto,"-32.035375,-52.107587",False
81129,Museu da Cachaça - Lagoa do Carro,Aberto,"-7.84655,-35.320084",False
81130,Museu de Zoologia e Ornitologia José Hidasi,Aberto,"-16.6395123,-49.3372661",False
81131,Museu Olavo Cardoso,Fechado,"-21.757797,-41.320885",False
81132,Museu Raymundo Fernandes da Fonseca,Aberto,"-11.140154,-37.619814",False
81133,Núcleo de Memória do Sistema FIEB,Aberto,"-12.98426,-38.449486",False
81134,Museu dos Clubes de Caça e Tiro,Aberto,"-26.8206837,-49.0895318",False
81135,Instituto Museu da Família,Aberto,"-23.311990950586,-51.8994140625",False
81136,Museu Fragmentos do Tempo,Aberto,"-29.565377,-54.464647",False
81137,Museu Histórico de Bela Vista,Aberto,"-22.10778,-56.526812",False
81138,Casa da Sesmaria,Aberto,"-21.483421437597,-47.0211410522461",False
81139,Museu Olívio Otto,Aberto,"-28.28034,-52.781187",False
81140,Parque Estadual do Pico do Itambé,Aberto,"-18.241785,-43.603512",False
81141,Museu Comunitário Almiro Theobaldo Muller,Aberto,"-27.1719891,-53.71312169999999",False
81142,Museu Histórico de Sertanópolis,Aberto,"-23.057531,-51.040435",False
81143,Museu Histórico Antônio de Azevedo Maia,Aberto,"-6.584166965157047,-36.772098541259766",False
81144,Associação Cultural Museu Militar Brasileiro,Aberto,"-28.2883588772875,-53.5015296936035",False
81145,Museu Municipal de Arte Sacra Dom Paulo Libório,Aberto,"-5.0928861,-42.8078952",False
